RANK,COIN,PRICE ($),1H (%),24H (%),7D (%),24 H VOLUME  ($),MKT CAP ($),CIRCULATING SUPPLY,ATH ($),ATL($),TRADING VOLUME,INITIAL PRICE ($)
548,Bitcoin Diamond BCD BCD,0.31,0.00,0.00,-0.31,"1,412,020.00","57,407,580.00","186,492,898 BCD",104.84,0.15,"189,492,897.95 BCD",45.14
149,Bitcoin Gold BTG BTG,31.59,0.01,0.01,-0.10,"23,735,849.00","553,286,470.00",0 BTG,43.81,0.00,"20,000,000,000,000 BTG",115.82
74,Bitcoin SV BSV BSV,79.30,0.00,0.02,-0.07,"66,596,956.00","1,514,033,507.00","19,055,414 BSV",491.64,36.87,"19,055,414.14 BSV",208.40
92,BitDAO BIT BIT,1.26,0.01,0.02,-0.01,"21,105,055.00","1,158,889,934.00","586,278,943 BIT",3.64,0.83,"10,000,000,000 BIT",1.76
571,BitMart Token BMX BMX,0.30,0.00,0.00,-0.01,"2,138,907.00","52,795,375.00","173,717,945 BMX",0.43,0.01,"640,881,615.96 BMX",0.05
431,Bitrue Coin BTR BTR,0.23,0.01,-0.03,-0.11,"10,877,627.00","89,062,456.00","131,421,228 BTR",0.74,0.01,"801,307,097.35 BTR",0.09
530,BitShares BTS BTS,0.02,-0.01,0.04,-0.03,"5,464,997.00","60,691,707.00","2,994,590,000 BTS",0.92,0.00,"2,994,590,000 BTS",0.01
64,BitTorrent BTT BTT,0.00,0.00,0.00,-0.06,"60,522,573.00","1,655,085,344.00","929,275,160,714,000 BTT",0.00,0.00,"990,000,000,000,000 BTT",0.00
888,Block Ape Scissors BAS BAS,0.37,0.00,0.01,-0.14,"45,995.32","18,386,310.00","49,345,737 BAS",2.07,0.07,"100,000,000 BAS",0.02
626,Bluzelle BLZ BLZ,0.14,0.00,0.02,-0.13,"2,793,336.00","45,684,375.00","324,643,883 BLZ",0.91,$O.OO6067,"500,000,000 BLZ",0.63
4,BNB BNB BNB,406.23,0.00,0.04,-0.03,"2,084,659,623.00","68,478,256,113.00","163,276,975 BNB",690.93,0.10,"163,276,974.63 BNB",0.10
295,Boba Network BOBA BOBA,1.12,0.00,0.04,-0.19,"2,352,952.00","178,567,923.00",0 BOBA,0.00,0.00,"1,000,000,000,000 BOBA",4.46
657,Bone ShibaSwap BONE BONE,0.57,0.00,0.00,-0.03,"1,884,751.00","41,247,133.00","6,975,300 BONE",41.67,0.29,"158,797,646.31 BONE",0.94
498,Bonfida FIDA FIDA,1.22,0.00,0.01,-0.16,"3,029,097.00","69,370,797.00","44,729,964 FIDA",59.61,0.35,"998,729,963.6 FIDA",0.40
564,BoringDAO [OLD] BOR BOR,339.75,0.01,-0.03,-0.02,"17,342.67","54,184,978.00","143,642 BOR","2,453.12",0.00,"200,000 BOR",138.33
726,BoringDAO BORING BORING,0.03,0.00,-0.07,-0.06,"522,423.00","32,330,334.00","459,843,082 BORING",0.15,0.01,"494,873,142.87 BORING",0.02
538,Boson Protocol BOSON BOSON,0.77,0.02,0.00,-0.18,"1,475,436.00","58,999,868.00","79,898,166 BOSON",6.93,0.30,"200,000,000 BOSON",4.12
430,Bounce AUCTION AUCTION,12.34,0.00,0.01,-0.12,"3,627,108.00","89,105,980.00","2,083,956 AUCTION",70.56,3.74,"2,083,955.6 AUCTION",19.25
971,Bridge$ BRG.X BRG.X,0.19,0.01,-0.03,0.06,"44,096.94","13,633,006.00",0 BRG.X,0.54,0.04,"100,000,000 BRG.X",0.01
757,BSCPAD BSCPAD BSCPAD,0.37,0.00,-0.04,-0.30,"998,083.00","29,243,571.00","79,211,621 BSCPAD",7.44,0.21,"175,600,000 BSCPAD",3.90
321,BTSE Token BTSE BTSE,7.50,0.01,0.00,0.00,"3,099,031.00","152,861,726.00","4,354,711 BTSE",9.22,0.64,"165,904,711 BTGE",1.20
846,BTU Protocol BTU BTU,0.26,0.01,0.04,-0.23,"1,536.63","20,993,106.00","90,514,216 BTU",2.67,0.03,"100,000,000 BTU",0.18
827,BUX Token BUX BUX,0.34,-0.01,0.03,-0.07,"472,496.00","22,096,161.00","57,904,773 BUX",0.83,0.04,"76,384,000 BUX",0.06
543,Bytecoin BCN BCN,0.00,0.01,0.01,-0.09,"5,328.79","58,425,443.00","184,066,828,814 BCN",0.03,0.00,"184,066,828,814.06 BCN",0.00
688,Bytom BTM BTM,0.02,0.00,0.02,-0.12,"1,012,946.00","36,176,215.00","1,658,681,244 BTM",1.17,0.01,"1,755,486,600 BTM",0.18
997,BYTZ BYTZ BYTZ,0.00,0.00,-0.10,-0.30,"11,416.94","12,632,718.00","8,456,888,000 BYTZ",0.01,0.00,"13,843,636,317 BYTZ",0.01
847,Carbon Protocol SWTH SWTH,0.01,0.00,-0.03,-0.27,"63,166.51","20,757,989.00","1,622,240,985 SWTH",0.10,0.00,"1,719,507,587.73 SWTH",0.01
9,Cardano ADA ADA,0.85,0.01,0.01,-0.10,"760,060,711.00","27,208,808,295.00","33,752,565,071 ADA",3.10,0.02,"34,277,702,081.6 ADA",0.02
769,CargoX CXO CXO,0.17,0.00,0.33,-0.25,"157,702.00","28,228,636.00","207,558,157 CXO",0.51,0.00,"215,119,015.62 CXO",0.10
485,Carry CRE CRE,0.01,0.01,0.02,-0.08,"9,020,703.00","72,629,116.00","8,790,810,727 CRE",0.08,0.00,"10,000,000,000 CRE",0.04
298,Cartesi CTSI CTSI,0.31,0.00,0.03,-0.12,"11,430,035.00","174,777,372.00","566,817,271 CTSI",1.75,0.03,"1,000,000,000 CTSI",0.05
202,Casper Network CSPR CSPR,0.07,0.00,-0.06,-0.13,"14,496,635.00","315,619,572.00","4,843,804,166 CSPR",1.36,0.03,"10,894,148,439 CSPR",0.79
676,CateCoin CATE CATE,0.00,0.01,0.05,-0.16,"155,641.00","38,119,547.00","32,637,761,699,941 CATE",0.00,0.00,"88,512,220,866,224 CATE",0.00
206,CEEK Smart VR Token CEEK CEEK,0.42,0.00,0.02,-0.15,"6,301,822.00","309,095,126.00","796,076,729 CEEK",1.20,0.00,"1,000,000,000 CEEK",0.04
233,Celer Network CELR CELR,0.04,0.01,0.01,-0.16,"54,308,806.00","241,587,990.00","6,940,278,297 CELR",0.20,0.00,"10,000,000,000 CELR",0.02
801,Cellframe CELL CELL,0.85,0.06,0.08,-0.10,"686,850.00","24,550,600.00","28,742,324 CELL",13.19,0.31,"29,735,000 CELL",4.45
90,Celo CELO CELO,2.82,0.00,0.01,-0.14,"44,116,863.00","1,222,728,873.00","439,191,694 CELO",10.66,0.80,"1,000,000,000 CELO",1.43
487,Celo Dollar CUSD CUSD,0.99,0.00,0.00,0.00,"725,980.00","71,930,298.00","61,500,403 CUSD",2.88,0.33,"61,500,402.96 CUSD",0.99
667,Celo Euro CEUR CEUR,1.04,0.00,0.02,-0.02,"162,474.00","39,075,790.00","40,029,840 CEUR",1.30,0.00,"40,029,839.69 CEUR",1.19
106,Celsius Network CEL CEL,2.10,0.00,-0.01,-0.05,"1,511,252.00","886,541,544.00","238,863,520 CEL",8.02,0.02,"695,658,160 CEL",0.06
999,Chain Guardians CGG CGG,0.25,0.00,-0.01,-0.17,"167,782.00","12,518,626.00","61,478,209 CGG","1,022.10",0.12,"120,000,000 CGG",2.29
27,Chainlink LINK LINK,12.76,0.01,0.00,-0.09,"403,447,832.00","5,968,069,031.00","467,009,550 LINK",52.88,0.13,"1,000,000,000 LINK",0.18
241,Chia XCH XCH,61.08,0.00,0.00,-0.08,"7,002,140.00","231,887,455.00","4,020,263 XCH","1,934.51",32.65,"25,020,263 XCH",625.94
94,Chiliz CHZ CHZ,0.20,0.01,0.02,-0.09,"140,373,384.00","1,096,850,409.00","6,000,378,917 CHZ",0.89,0.00,"8,888,888,888 CHZ",0.02
240,Chromia CHR CHR,0.42,-0.02,0.09,-0.04,"148,995,214.00","235,185,786.00","567,369,439 CHR",1.50,0.01,"471,970,667.47 CHR",0.07
659,chrono.tech TIME TIME,57.59,0.00,0.03,-0.07,"90,814.03","40,998,180.00","710,112 TIME",550.73,0.38,"710,112.81 TIME",6.64
568,Circuits of Value COVAL COVAL,0.03,0.01,0.00,-0.17,"459,253.00","53,041,048.00","1,786,735,979 COVAL",133.01,0.00,"1,786,752,135.91 COVAL",0.00
287,Civic CVC CVC,0.28,0.01,0.02,-0.08,"19,882,912.00","185,014,516.00","670,000,000 CVC",1.66,0.01,"1,000,000,000 CVC",0.18
670,Civilization CIV CIV,0.13,0.01,0.04,0.04,"1,629,960.00","39,011,843.00","300,000,000 CIV",0.30,0.04,"300,000,000 CIV",0.08
461,Clover Finance CLV CLV,0.31,0.00,0.03,-0.10,"18,362,785.00","81,080,819.00","260,975,397 CLV",2.17,0.10,"1,000,000,000 CLV",0.88
631,Coin of the champions COC COC,0.00,0.01,0.06,-0.11,"18,312.90","44,928,399.00",,0.00,0.00,"999,698,337,773,294 COC",0.00
232,Coin98 C98 C98,1.33,0.00,0.03,-0.15,"19,536,289.00","246,230,590.00","185,000,000 C98",6.42,0.35,"1,000,000,000 C98",1.94
239,CoinEx Token CET CET,0.06,0.00,0.01,-0.01,"644,928.00","235,467,709.00","708,633,582 CET",0.15,0.00,"3,830,645,898 CET",0.02
405,Coinmetro XCM XCM,0.33,-0.01,-0.07,-0.21,"34,013.49","100,831,951.00","303,079,442 XCM",0.92,0.02,"326,798,666.07 XCM",0.05
892,Coinweb CWEB CWEB,0.03,0.00,-0.02,-0.01,"936,042.00","18,268,028.00","865,390,004 CWEB",0.23,0.01,"7,680,000,000 CWEB",0.15
803,Comdex CMDX CMDX,0.94,0.00,-0.01,-0.15,"439,472.00","24,563,462.00","28,641,249 CMDX",5.97,0.32,"111,497,531.48 CMDX",1.92
108,Compound COMP COMP,124.77,0.01,0.00,-0.15,"47,828,446.00","838,255,937.00","6,855,969 COMP",911.20,61.27,"10,000,000 COMP",224.55
523,Concordium CCD CCD,0.04,0.00,0.00,-0.11,"1,411,064.00","61,778,620.00","1,737,562,744 CCD",0.09,0.02,"10,665,185,502 CCD",0.08
